epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3283,1.65283,3.1507,1.30533,1.55557,0,0.81597,0.82857,0.87117,0.54481,0.8559,0.84855,0.88212,0.5545,1.34012,2.0945,1.26297,1.41014,0,0.000656085,0.000656085,0.000656085
2,70.2195,1.57535,2.9445,1.26665,1.48548,0,0.61079,0.54286,0.52639,0.31254,0.62882,0.55665,0.56125,0.28642,1.64583,3.74675,3.17436,1.63152,0,0.00130966,0.00130966,0.00130966
3,106.244,1.56762,2.9213,1.3024,1.46994,0,0.82514,0.82857,0.81854,0.50737,0.8536,0.85714,0.84263,0.48931,1.41643,2.07676,7.55958,1.41485,0,0.00195003,0.00195003,0.00195003
4,142.333,1.49658,2.81126,1.23771,1.4298,0,0.78854,0.85241,0.84909,0.48319,0.78854,0.85241,0.83936,0.49442,1.47328,2.00711,2.40582,1.42589,0,0.0019406,0.0019406,0.0019406
5,177.3,1.52039,2.77486,1.21484,1.42932,0,0.87508,0.82857,0.84,0.53111,0.87508,0.82857,0.83824,0.49071,1.28779,1.99249,1.26279,1.37239,0,0.0019208,0.0019208,0.0019208
6,212.58,1.50318,2.73004,1.2236,1.43044,0,0.82502,0.8083,0.82447,0.54563,0.85166,0.78571,0.82175,0.4699,1.3113,2.44207,1.13735,1.38247,0,0.001901,0.001901,0.001901
7,248.464,1.46884,2.69162,1.18897,1.40211,0,0.79759,0.84439,0.84811,0.48408,0.8182,0.85714,0.85503,0.47637,1.63116,2.27187,1.16477,1.61028,0,0.0018812,0.0018812,0.0018812
8,283.939,1.46357,2.70258,1.15124,1.39565,0,0.81781,0.88571,0.88315,0.56296,0.81781,0.88571,0.87685,0.4872,1.35922,2.28628,2.0483,1.37821,0,0.0018614,0.0018614,0.0018614
9,317.379,1.4003,2.62242,1.12285,1.3676,0,0.76823,0.81429,0.83145,0.4685,0.76287,0.82726,0.83163,0.43571,1.54759,2.46829,3.36871,1.49078,0,0.0018416,0.0018416,0.0018416
10,351.373,1.39635,2.63372,1.10769,1.36009,0,0.82253,0.77143,0.82993,0.56041,0.82253,0.77143,0.83551,0.51565,1.20341,1.96172,1.89604,1.34178,0,0.0018218,0.0018218,0.0018218
11,384.435,1.36767,2.56338,1.08553,1.35473,0,0.76575,0.84059,0.8513,0.54942,0.76783,0.84286,0.83745,0.49162,1.31071,2.17428,1.11361,1.38501,0,0.001802,0.001802,0.001802
12,417.909,1.38636,2.54511,1.04283,1.34389,0,0.78088,0.8,0.79866,0.45039,0.78812,0.79711,0.79146,0.42859,1.56417,2.47532,1.18251,1.50735,0,0.0017822,0.0017822,0.0017822
13,450.863,1.32325,2.49116,0.98618,1.32356,0,0.85039,0.85714,0.88129,0.51654,0.94818,0.78425,0.88255,0.52489,1.50095,2.08909,1.28777,1.50026,0,0.0017624,0.0017624,0.0017624
14,475.992,1.33121,2.48281,1.01803,1.31685,0,0.88882,0.82857,0.86304,0.6063,0.88882,0.82857,0.866,0.56852,1.28662,1.96617,1.15112,1.3542,0,0.0017426,0.0017426,0.0017426
15,500.703,1.2741,2.38924,0.96832,1.2853,0,0.95321,0.77143,0.87838,0.54501,0.95321,0.77143,0.88962,0.5343,1.41064,2.01366,0.90713,1.40808,0,0.0017228,0.0017228,0.0017228
16,525.327,1.28791,2.39527,0.96334,1.28074,0,0.93536,0.82691,0.87263,0.63433,0.93536,0.82691,0.87058,0.5865,1.12899,1.90485,1.13647,1.25004,0,0.001703,0.001703,0.001703
